#FILE:                       ,char_GD_30_06_10.dsu            ,,,,
#FORMAT:                     ,NETZSCH5                        ,,,,
#IDENTITY:                   ,char GD                         ,,,,
#DECIMAL:                    ,POINT                           ,,,,
#SEPARATOR:                  ,COMMA                           ,,,,
#MTYPE:                      ,DTA                             ,,,,
#MSUBTYPE:                   ,                                ,,,,
#INSTRUMENT:                 ,NETZSCH STA 449 C               ,,,,
#PROJECT:                    ,Torrefaction                    ,,,,
#DATE/TIME:                  ,30/06/2010 09:32:44             ,,,,
#CORR. FILE:                 ,char_GF_23_06_10.bsu            ,,,,
#LABORATORY:                 ,Sustainable Research Energ      ,,,,
#OPERATOR:                   ,Xiaomian Baxter                 ,,,,
#REMARK:                     ,                                ,,,,
#SAMPLE:                     ,nonisoth oxid with init drying  ,,,,
#SAMPLE MASS /mg:            ,10.18,,,,
#MATERIAL:                   ,char                            ,,,,
#REFERENCE:                  ,Alumina                         ,,,,
#REFERENCE MASS /mg:         ,0,,,,
#TYPE OF CRUCIBLE:           ,DTA/TG crucible Al2O3           ,,,,
#SAMPLE CRUCIBLE MASS /mg:   ,0,,,,
#REFERENCE CRUCIBLE MASS /mg:,0,,,,
#CORR. CODE:                 ,20,,,,
#EXO:                        ,-1,,,,
#RANGE:                      ,30.0....900.0/-20.0....10.0K/min,,99.09156725,,
#SEGMENT:                    ,S1-5/5                          ,,99.08820897,,
,,,10.40468503,,
##Temp./øC,Time/min,DTA/(mW/mg),Mass/%,Sensit./(æV/mW),Segment
32.064,0.89,9.34E-02,100.07957,8.94E-02,1
32.089,0.9,0.10022,100.07957,8.94E-02,1
32.101,0.91,9.34E-02,100.07859,8.94E-02,1
32.112,0.92,9.33E-02,100.07859,8.95E-02,1
32.133,0.93,9.06E-02,100.07859,8.95E-02,1
32.142,0.94,8.92E-02,100.07859,8.95E-02,1
32.173,0.95,8.23E-02,100.0776,8.95E-02,1
32.188,0.96,8.64E-02,100.07859,8.95E-02,1
32.203,0.97,8.37E-02,100.07859,8.95E-02,1
32.221,0.98,7.82E-02,100.0776,8.95E-02,1
32.246,0.99,7.13E-02,100.0776,8.95E-02,1
32.271,1,6.86E-02,100.07859,8.95E-02,1
32.286,1.01,5.76E-02,100.0776,8.95E-02,1
32.308,1.02,6.03E-02,100.07859,8.95E-02,1
32.332,1.03,5.21E-02,100.07859,8.96E-02,1
32.369,1.04,4.66E-02,100.07859,8.96E-02,1
32.385,1.05,4.11E-02,100.0776,8.96E-02,1
32.418,1.06,3.97E-02,100.0776,8.96E-02,1
32.445,1.07,3.43E-02,100.07859,8.96E-02,1
32.474,1.08,2.47E-02,100.07859,8.96E-02,1
32.5,1.09,1.37E-02,100.0776,8.96E-02,1
32.525,1.1,1.23E-02,100.07859,8.96E-02,1
32.559,1.11,1.37E-02,100.07957,8.97E-02,1
32.587,1.12,1.10E-02,100.07859,8.97E-02,1
32.621,1.13,4.11E-03,100.07859,8.97E-02,1
32.655,1.14,-2.74E-03,100.07859,8.97E-02,1
32.684,1.15,-1.37E-02,100.07957,8.97E-02,1
32.728,1.16,-1.78E-02,100.07859,8.97E-02,1
32.764,1.17,-2.46E-02,100.07957,8.98E-02,1
32.805,1.18,-2.74E-02,100.07859,8.98E-02,1
32.839,1.19,-3.56E-02,100.07957,8.98E-02,1
32.885,1.2,-4.10E-02,100.07859,8.98E-02,1
32.912,1.21,-5.20E-02,100.07957,8.98E-02,1
32.957,1.22,-5.74E-02,100.07859,8.98E-02,1
32.992,1.23,-6.83E-02,100.07957,8.99E-02,1
33.033,1.24,-7.10E-02,100.07859,8.99E-02,1
33.082,1.25,-7.65E-02,100.07859,8.99E-02,1
33.113,1.26,-8.33E-02,100.07859,8.99E-02,1
33.165,1.27,-8.74E-02,100.07957,8.99E-02,1
33.214,1.28,-9.55E-02,100.07957,9.00E-02,1
33.255,1.29,-9.96E-02,100.07957,9.00E-02,1
33.303,1.3,-0.11052,100.07957,9.00E-02,1
33.339,1.31,-0.11322,100.07957,9.00E-02,1
33.399,1.32,-0.11864,100.07859,9.00E-02,1
33.439,1.33,-0.11862,100.07957,9.01E-02,1
33.492,1.34,-0.13358,100.07957,9.01E-02,1
33.546,1.35,-0.14581,100.07957,9.01E-02,1
33.594,1.36,-0.16212,100.07957,9.01E-02,1
33.647,1.37,-0.16752,100.07957,9.02E-02,1
33.697,1.38,-0.17701,100.08055,9.02E-02,1
33.74,1.39,-0.18242,100.08055,9.02E-02,1
33.803,1.4,-0.18781,100.08055,9.02E-02,1
33.843,1.41,-0.19185,100.08251,9.02E-02,1
33.9,1.42,-0.20131,100.08251,9.03E-02,1
33.963,1.43,-0.20805,100.08448,9.03E-02,1
34.016,1.44,-0.21343,100.08448,9.03E-02,1
34.081,1.45,-0.22287,100.08448,9.04E-02,1
34.143,1.46,-0.22687,100.08546,9.04E-02,1
34.198,1.47,-0.24175,100.08644,9.04E-02,1
34.248,1.48,-0.24984,100.08644,9.04E-02,1
34.314,1.49,-0.26604,100.08743,9.05E-02,1
34.381,1.5,-0.27002,100.08743,9.05E-02,1
34.431,1.51,-0.27538,100.08743,9.05E-02,1
34.503,1.52,-0.28613,100.08644,9.05E-02,1
34.554,1.53,-0.29283,100.08546,9.06E-02,1
34.634,1.54,-0.29406,100.08448,9.06E-02,1
34.7,1.55,-0.30887,100.0835,9.06E-02,1
34.751,1.56,-0.31691,100.08153,9.07E-02,1
34.831,1.57,-0.32897,100.08055,9.07E-02,1
34.89,1.58,-0.33293,100.08055,9.07E-02,1
34.958,1.59,-0.33822,100.08055,9.08E-02,1
35.029,1.6,-0.35568,100.07957,9.08E-02,1
35.105,1.61,-0.35961,100.07859,9.08E-02,1
35.163,1.62,-0.3676,100.07957,9.09E-02,1
35.237,1.63,-0.37963,100.07859,9.09E-02,1
35.296,1.64,-0.37951,100.07859,9.09E-02,1
35.371,1.65,-0.39962,100.07957,9.10E-02,1
35.45,1.66,-0.4062,100.07957,9.10E-02,1
35.515,1.67,-0.40742,100.08055,9.10E-02,1
35.585,1.68,-0.41941,100.08055,9.11E-02,1
35.672,1.69,-0.42866,100.08055,9.11E-02,1
35.739,1.7,-0.44334,100.08055,9.11E-02,1
35.819,1.71,-0.44181,100.08153,9.12E-02,1
35.884,1.72,-0.45244,100.08251,9.12E-02,1
35.976,1.73,-0.4603,100.08251,9.12E-02,1
36.056,1.74,-0.46819,100.08251,9.13E-02,1
36.131,1.75,-0.47877,100.08251,9.13E-02,1
36.215,1.76,-0.48125,100.0835,9.13E-02,1
36.286,1.77,-0.50124,100.0835,9.14E-02,1
36.365,1.78,-0.50641,100.08251,9.14E-02,1
36.444,1.79,-0.51829,100.08251,9.14E-02,1
36.522,1.8,-0.53151,100.08153,9.15E-02,1
36.608,1.81,-0.53666,100.07957,9.15E-02,1
36.684,1.82,-0.54716,100.07957,9.16E-02,1
36.766,1.83,-0.55364,100.0776,9.16E-02,1
36.861,1.84,-0.55873,100.07859,9.16E-02,1
36.942,1.85,-0.5719,100.0776,9.17E-02,1
37.016,1.86,-0.58105,100.07662,9.17E-02,1
37.118,1.87,-0.59414,100.07859,9.18E-02,1
37.192,1.88,-0.59793,100.0776,9.18E-02,1
37.282,1.89,-0.60166,100.0776,9.18E-02,1
37.377,1.9,-0.61073,100.07859,9.19E-02,1
37.463,1.91,-0.62382,100.07859,9.19E-02,1
37.558,1.92,-0.6302,100.0776,9.20E-02,1
37.65,1.93,-0.64058,100.07662,9.20E-02,1
37.727,1.94,-0.64567,100.07662,9.20E-02,1
37.828,1.95,-0.65601,100.07564,9.21E-02,1
37.912,1.96,-0.66905,100.07564,9.21E-02,1
37.995,1.97,-0.68609,100.07367,9.22E-02,1
38.091,1.98,-0.68709,100.07269,9.22E-02,1
38.178,1.99,-0.68812,100.07269,9.23E-02,1
38.273,2,-0.70242,100.07073,9.23E-02,1
38.356,2.01,-0.7141,100.07073,9.23E-02,1
38.471,2.02,-0.71501,100.07073,9.24E-02,1
38.556,2.03,-0.71603,100.07073,9.24E-02,1
38.656,2.04,-0.73293,100.07073,9.25E-02,1
38.756,2.05,-0.73655,100.07073,9.25E-02,1
38.84,2.06,-0.74419,100.07073,9.26E-02,1
38.945,2.07,-0.75706,100.07073,9.26E-02,1
39.032,2.08,-0.76335,100.06974,9.27E-02,1
39.138,2.09,-0.76957,100.07171,9.27E-02,1
39.244,2.1,-0.77445,100.07171,9.28E-02,1
39.342,2.11,-0.7873,100.07171,9.28E-02,1
39.438,2.12,-0.79353,100.07073,9.28E-02,1
39.534,2.13,-0.79976,100.07171,9.29E-02,1
39.634,2.14,-0.8086,100.07073,9.29E-02,1
39.722,2.15,-0.81221,100.07073,9.30E-02,1
39.828,2.16,-0.81969,100.06974,9.30E-02,1
39.927,2.17,-0.83116,100.06876,9.31E-02,1
40.042,2.18,-0.83991,100.06778,9.31E-02,1
40.135,2.19,-0.85006,100.0668,9.32E-02,1
40.243,2.2,-0.85618,100.0668,9.32E-02,1
40.338,2.21,-0.86104,100.06582,9.33E-02,1
40.452,2.22,-0.86581,100.06582,9.33E-02,1
40.551,2.23,-0.88116,100.06582,9.34E-02,1
40.66,2.24,-0.88068,100.06483,9.34E-02,1
40.767,2.25,-0.8986,100.06483,9.35E-02,1
40.866,2.26,-0.89553,100.06483,9.35E-02,1
40.962,2.27,-0.89903,100.06483,9.36E-02,1
41.09,2.28,-0.90895,100.06385,9.36E-02,1
41.185,2.29,-0.91638,100.06385,9.37E-02,1
41.302,2.3,-0.93027,100.06287,9.37E-02,1
41.402,2.31,-0.94289,100.0609,9.38E-02,1
41.509,2.32,-0.95158,100.05992,9.38E-02,1
41.614,2.33,-0.95497,100.05796,9.39E-02,1
41.721,2.34,-0.97014,100.05697,9.39E-02,1
41.829,2.35,-0.97092,100.05599,9.40E-02,1
41.944,2.36,-0.97428,100.05599,9.40E-02,1
42.052,2.37,-0.98159,100.05403,9.41E-02,1
42.156,2.38,-0.99151,100.05403,9.41E-02,1
42.273,2.39,-0.99876,100.05206,9.42E-02,1
42.39,2.4,-0.99948,100.05206,9.42E-02,1
42.499,2.41,-1.01326,100.05206,9.43E-02,1
42.602,2.42,-1.02056,100.05206,9.43E-02,1
42.72,2.43,-1.02515,100.05206,9.44E-02,1
42.834,2.44,-1.03887,100.05108,9.44E-02,1
42.951,2.45,-1.04606,100.05206,9.45E-02,1
43.076,2.46,-1.05319,100.05108,9.46E-02,1
43.179,2.47,-1.05395,100.05108,9.46E-02,1
43.286,2.48,-1.06506,100.05206,9.47E-02,1
43.405,2.49,-1.07613,100.05108,9.47E-02,1
43.512,2.5,-1.08459,100.05206,9.48E-02,1
43.638,2.51,-1.08909,100.05206,9.48E-02,1
43.763,2.52,-1.09359,100.05108,9.49E-02,1
43.859,2.53,-1.10471,100.05206,9.49E-02,1
43.973,2.54,-1.11442,100.05108,9.50E-02,1
44.103,2.55,-1.1163,100.05206,9.50E-02,1
44.207,2.56,-1.12995,100.05108,9.51E-02,1
44.342,2.57,-1.12528,100.05108,9.52E-02,1
44.446,2.58,-1.13373,100.0501,9.52E-02,1
44.563,2.59,-1.14338,100.05108,9.53E-02,1
44.687,2.6,-1.15685,100.0501,9.53E-02,1
44.803,2.61,-1.15877,100.04912,9.54E-02,1
44.905,2.62,-1.16334,100.04912,9.54E-02,1
45.043,2.63,-1.17537,100.04715,9.55E-02,1
45.149,2.64,-1.18632,100.04617,9.55E-02,1
45.28,2.65,-1.18683,100.04715,9.56E-02,1
45.398,2.66,-1.19256,100.04519,9.57E-02,1
45.525,2.67,-1.19822,100.04519,9.57E-02,1
45.626,2.68,-1.21172,100.04519,9.58E-02,1
45.751,2.69,-1.21482,100.0442,9.58E-02,1
45.868,2.7,-1.22179,100.0442,9.59E-02,1
45.98,2.71,-1.2288,100.0442,9.59E-02,1
46.119,2.72,-1.23179,100.0442,9.60E-02,1
46.232,2.73,-1.23237,100.0442,9.61E-02,1
46.355,2.74,-1.24057,100.04322,9.61E-02,1
46.478,2.75,-1.25258,100.04224,9.62E-02,1
46.599,2.76,-1.24928,100.04322,9.62E-02,1
46.725,2.77,-1.2587,100.04224,9.63E-02,1
46.835,2.78,-1.26948,100.04224,9.63E-02,1
46.965,2.79,-1.27376,100.04224,9.64E-02,1
47.09,2.8,-1.28316,100.04126,9.65E-02,1
47.219,2.81,-1.28234,100.04028,9.65E-02,1
47.345,2.82,-1.28408,100.04126,9.66E-02,1
47.457,2.83,-1.28972,100.04028,9.66E-02,1
47.597,2.84,-1.29899,100.03929,9.67E-02,1
47.697,2.85,-1.31104,100.03929,9.67E-02,1
47.833,2.86,-1.32031,100.03929,9.68E-02,1
47.953,2.87,-1.3284,100.03831,9.69E-02,1
48.08,2.88,-1.3339,100.03831,9.69E-02,1
48.2,2.89,-1.33311,100.03733,9.70E-02,1
48.329,2.9,-1.33479,100.03733,9.71E-02,1
48.458,2.91,-1.33394,100.03635,9.71E-02,1
48.587,2.92,-1.34573,100.03635,9.72E-02,1
48.719,2.93,-1.34738,100.03635,9.72E-02,1
48.829,2.94,-1.35296,100.03536,9.73E-02,1
48.969,2.95,-1.35707,100.03536,9.74E-02,1
49.088,2.96,-1.36636,100.0334,9.74E-02,1
49.228,2.97,-1.37549,100.0334,9.75E-02,1
49.34,2.98,-1.37851,100.03242,9.75E-02,1
49.472,2.99,-1.38391,100.03143,9.76E-02,1
49.595,3,-1.38558,100.03045,9.77E-02,1
49.706,3.01,-1.39115,100.02947,9.77E-02,1
49.856,3.02,-1.3926,100.02849,9.78E-02,1
49.962,3.03,-1.40317,100.02652,9.78E-02,1
50.089,3.04,-1.40731,100.02456,9.79E-02,1
50.22,3.05,-1.41643,100.02259,9.80E-02,1
50.364,3.06,-1.41543,100.02063,9.80E-02,1
50.481,3.07,-1.41712,100.01866,9.81E-02,1
50.613,3.08,-1.42371,100.01572,9.81E-02,1
50.728,3.09,-1.42665,100.01473,9.82E-02,1
50.868,3.1,-1.43317,100.01375,9.83E-02,1
50.995,3.11,-1.43603,100.01277,9.83E-02,1
51.123,3.12,-1.43887,100.01179,9.84E-02,1
51.253,3.13,-1.44045,100.01179,9.85E-02,1
51.376,3.14,-1.44207,100.01081,9.85E-02,1
51.5,3.15,-1.44742,100.01081,9.86E-02,1
51.64,3.16,-1.45763,100.01081,9.86E-02,1
51.763,3.17,-1.45924,100.01081,9.87E-02,1
51.892,3.18,-1.46081,100.00982,9.88E-02,1
52.012,3.19,-1.46989,100.00982,9.88E-02,1
52.148,3.2,-1.46643,100.00786,9.89E-02,1
52.284,3.21,-1.47787,100.00688,9.90E-02,1
52.404,3.22,-1.47703,100.00688,9.90E-02,1
52.539,3.23,-1.48098,100.00589,9.91E-02,1
52.674,3.24,-1.48868,100.00491,9.91E-02,1
52.791,3.25,-1.48659,100.00393,9.92E-02,1
52.92,3.26,-1.49678,100.00196,9.93E-02,1
53.048,3.27,-1.49956,100.00196,9.93E-02,1
53.18,3.28,-1.50353,100.00098,9.94E-02,1
53.312,3.29,-1.5001,100,9.95E-02,1
53.447,3.3,-1.50281,100,9.95E-02,1
53.581,3.31,-1.51169,99.99804,9.96E-02,1
53.724,3.32,-1.51311,99.99804,9.97E-02,1
53.831,3.33,-1.51724,99.99804,9.97E-02,1
53.962,3.34,-1.51627,99.99607,9.98E-02,1
54.109,3.35,-1.5251,99.99607,9.98E-02,1
54.225,3.36,-1.53277,99.99509,9.99E-02,1
54.356,3.37,-1.53425,99.99411,1.00E-01,1
54.486,3.38,-1.54065,99.99411,0.10002,1
54.634,3.39,-1.5469,99.99411,0.1001,1
54.744,3.4,-1.54607,99.99214,0.10015,1
54.875,3.41,-1.54876,99.99214,0.10021,1
55.02,3.42,-1.54278,99.99116,0.10028,1
55.151,3.43,-1.55525,99.98919,0.10035,1
55.267,3.44,-1.55071,99.98821,0.1004,1
55.401,3.45,-1.55582,99.98821,0.10047,1
55.537,3.46,-1.567,99.98625,0.10054,1
55.667,3.47,-1.56479,99.98527,0.1006,1
55.798,3.48,-1.57112,99.98428,0.10066,1
55.934,3.49,-1.58105,99.98232,0.10073,1
56.068,3.5,-1.5715,99.98035,0.10079,1
56.195,3.51,-1.57662,99.98035,0.10086,1
56.324,3.52,-1.5732,99.97839,0.10092,1
56.452,3.53,-1.57709,99.97741,0.10098,1
56.599,3.54,-1.58326,99.97544,0.10105,1
56.73,3.55,-1.5859,99.97544,0.10112,1
56.864,3.56,-1.58487,99.97348,0.10118,1
57.004,3.57,-1.58868,99.9725,0.10125,1
57.126,3.58,-1.59377,99.97053,0.10131,1
57.253,3.59,-1.59764,99.97053,0.10137,1
57.389,3.6,-1.5978,99.96857,0.10144,1
57.517,3.61,-1.60407,99.9666,0.1015,1
57.652,3.62,-1.61028,99.96365,0.10157,1
57.793,3.63,-1.61402,99.96267,0.10164,1
57.914,3.64,-1.61066,99.95972,0.1017,1
58.051,3.65,-1.61321,99.95776,0.10177,1
58.185,3.66,-1.6182,99.95481,0.10183,1
58.315,3.67,-1.62321,99.95285,0.1019,1
58.441,3.68,-1.62704,99.95285,0.10196,1
58.566,3.69,-1.62607,99.95088,0.10202,1
58.717,3.7,-1.6321,99.95088,0.10209,1
58.85,3.71,-1.63586,99.9499,0.10216,1
58.975,3.72,-1.63728,99.9499,0.10222,1
59.111,3.73,-1.63741,99.9499,0.10229,1
59.25,3.74,-1.64471,99.9499,0.10236,1
59.376,3.75,-1.63892,99.94892,0.10242,1
59.513,3.76,-1.64863,99.94892,0.10248,1
59.639,3.77,-1.64763,99.94892,0.10255,1
59.775,3.78,-1.65253,99.94794,0.10261,1
59.896,3.79,-1.65397,99.94794,0.10267,1
60.029,3.8,-1.66008,99.94695,0.10274,1
60.17,3.81,-1.65776,99.94695,0.10281,1
60.3,3.82,-1.65912,99.94499,0.10287,1
60.429,3.83,-1.66525,99.94401,0.10294,1
60.562,3.84,-1.66299,99.94303,0.103,1
60.691,3.85,-1.66673,99.94106,0.10307,1
60.833,3.86,-1.66917,99.94008,0.10314,1
60.969,3.87,-1.66927,99.93811,0.1032,1
61.091,3.88,-1.67424,99.93713,0.10326,1
61.224,3.89,-1.66724,99.93418,0.10333,1
61.359,3.9,-1.66616,99.9332,0.1034,1
61.493,3.91,-1.67221,99.93124,0.10346,1
61.627,3.92,-1.67589,99.93026,0.10353,1
61.747,3.93,-1.68441,99.92927,0.10359,1
61.886,3.94,-1.68921,99.92829,0.10366,1
62.025,3.95,-1.68809,99.92731,0.10373,1
62.154,3.96,-1.69178,99.92633,0.10379,1
62.289,3.97,-1.69424,99.92436,0.10386,1
62.41,3.98,-1.70043,99.92338,0.10391,1
62.545,3.99,-1.69807,99.9224,0.10398,1
62.676,4,-1.69465,99.92141,0.10405,1
62.809,4.01,-1.69483,99.92043,0.10411,1
62.948,4.02,-1.69953,99.91945,0.10418,1
63.081,4.03,-1.69609,99.91847,0.10425,1
63.213,4.04,-1.70444,99.9165,0.10432,1
63.328,4.05,-1.71175,99.91356,0.10437,1
63.47,4.06,-1.70824,99.91159,0.10444,1
63.619,4.07,-1.70585,99.90963,0.10452,1
63.735,4.08,-1.71548,99.90668,0.10457,1
63.871,4.09,-1.71202,99.9057,0.10464,1
64.008,4.1,-1.71449,99.90373,0.10471,1
64.141,4.11,-1.71569,99.90079,0.10478,1
64.269,4.12,-1.7205,99.89882,0.10484,1
64.397,4.13,-1.71945,99.89587,0.1049,1
64.528,4.14,-1.72189,99.89391,0.10497,1
64.657,4.15,-1.71967,99.89293,0.10503,1
64.793,4.16,-1.72206,99.89194,0.1051,1
64.923,4.17,-1.72801,99.88998,0.10517,1
65.061,4.18,-1.72921,99.88703,0.10524,1
65.193,4.19,-1.72346,99.88507,0.1053,1
65.335,4.2,-1.73629,99.8831,0.10537,1
65.452,4.21,-1.73649,99.88016,0.10543,1
65.585,4.22,-1.73656,99.87819,0.1055,1
65.714,4.23,-1.73899,99.87623,0.10556,1
65.852,4.24,-1.74018,99.87525,0.10563,1
65.984,4.25,-1.74025,99.87328,0.1057,1
66.127,4.26,-1.73559,99.87033,0.10577,1
66.229,4.27,-1.73591,99.86837,0.10582,1
66.379,4.28,-1.7428,99.8664,0.10589,1
66.502,4.29,-1.74412,99.86444,0.10596,1
66.642,4.3,-1.74643,99.86248,0.10603,1
