,in2
Mass,10.100                          
% Ash,17.5272974542429
% Moisture,1.10357104492202
300,-0.173158013582598
350,-1.06458013908167
400,-3.23858574055876
450,-5.40177410749618
500,-5.98508344863679
550,-0.0895536585331339
600,-0.189015665999484
