#FILE:                       ,char_NF_24_06_10.dsu            ,,,,
#FORMAT:                     ,NETZSCH5                        ,,,,
#IDENTITY:                   ,char NF                         ,,,,
#DECIMAL:                    ,POINT                           ,,,,
#SEPARATOR:                  ,COMMA                           ,,,,
#MTYPE:                      ,DTA                             ,,,,
#MSUBTYPE:                   ,                                ,,,,
#INSTRUMENT:                 ,NETZSCH STA 449 C               ,,,,
#PROJECT:                    ,Torrefaction                    ,,,,
#DATE/TIME:                  ,24/06/2010 19:20:25             ,,,,
#CORR. FILE:                 ,char_GF_23_06_10.bsu            ,,,,
#LABORATORY:                 ,Sustainable Research Energ      ,,,,
#OPERATOR:                   ,EMF                             ,,,,
#REMARK:                     ,                                ,,,,
#SAMPLE:                     ,nonisoth oxid with init drying  ,,,,
#SAMPLE MASS /mg:            ,9.83,,,,
#MATERIAL:                   ,Alumina                         ,,,,
#REFERENCE:                  ,Alumina                         ,,,,
#REFERENCE MASS /mg:         ,0,,,,
#TYPE OF CRUCIBLE:           ,DTA/TG crucible Al2O3           ,,,,
#SAMPLE CRUCIBLE MASS /mg:   ,0,,,,
#REFERENCE CRUCIBLE MASS /mg:,0,,,,
#CORR. CODE:                 ,20,,,,
#EXO:                        ,-1,,,,
#RANGE:                      ,30.0....900.0/-20.0....10.0K/min,,99.39519369,,
#SEGMENT:                    ,S1-5/5                          ,,99.38100029,,
,,,11.11044998,,
##Temp./øC,Time/min,DTA/(mW/mg),Mass/%,Sensit./(æV/mW),Segment
36.781,0.83,7.63E-02,99.98169,9.16E-02,1
36.778,0.84,7.08E-02,99.98169,9.16E-02,1
36.784,0.85,7.08E-02,99.98169,9.16E-02,1
36.782,0.86,7.63E-02,99.98067,9.16E-02,1
36.781,0.87,7.36E-02,99.97965,9.16E-02,1
36.773,0.88,7.91E-02,99.97965,9.16E-02,1
36.772,0.89,6.94E-02,99.97965,9.16E-02,1
36.772,0.9,7.36E-02,99.97864,9.16E-02,1
36.768,0.91,7.36E-02,99.9766,9.16E-02,1
36.763,0.92,8.89E-02,99.97558,9.16E-02,1
36.759,0.93,8.47E-02,99.97457,9.16E-02,1
36.757,0.94,8.33E-02,99.97355,9.16E-02,1
36.75,0.95,7.91E-02,99.97152,9.16E-02,1
36.749,0.96,8.19E-02,99.9705,9.16E-02,1
36.75,0.97,7.77E-02,99.96948,9.16E-02,1
36.75,0.98,7.64E-02,99.96745,9.16E-02,1
36.749,0.99,7.77E-02,99.96541,9.16E-02,1
36.75,1,8.05E-02,99.96439,9.16E-02,1
36.752,1.01,7.36E-02,99.96236,9.16E-02,1
36.75,1.02,6.66E-02,99.96134,9.16E-02,1
36.743,1.03,6.39E-02,99.95931,9.16E-02,1
36.746,1.04,6.53E-02,99.95829,9.16E-02,1
36.749,1.05,6.80E-02,99.95626,9.16E-02,1
36.743,1.06,5.97E-02,99.95422,9.16E-02,1
36.744,1.07,6.39E-02,99.95422,9.16E-02,1
36.741,1.08,5.55E-02,99.95219,9.16E-02,1
36.74,1.09,4.72E-02,99.95015,9.16E-02,1
36.744,1.1,4.58E-02,99.94914,9.16E-02,1
36.741,1.11,5.00E-02,99.94812,9.16E-02,1
36.738,1.12,4.72E-02,99.94608,9.16E-02,1
36.737,1.13,4.17E-02,99.94507,9.16E-02,1
36.741,1.14,4.30E-02,99.94405,9.16E-02,1
36.75,1.15,4.03E-02,99.94405,9.16E-02,1
36.753,1.16,3.33E-02,99.94201,9.16E-02,1
36.753,1.17,3.33E-02,99.941,9.16E-02,1
36.759,1.18,2.64E-02,99.93998,9.16E-02,1
36.756,1.19,2.08E-02,99.93896,9.16E-02,1
36.762,1.2,1.11E-02,99.93693,9.16E-02,1
36.759,1.21,9.72E-03,99.93693,9.16E-02,1
36.76,1.22,4.16E-03,99.93489,9.16E-02,1
36.769,1.23,-1.39E-03,99.93388,9.16E-02,1
36.779,1.24,-4.16E-03,99.93184,9.16E-02,1
36.785,1.25,-9.72E-03,99.93082,9.16E-02,1
36.785,1.26,-1.94E-02,99.92981,9.16E-02,1
36.79,1.27,-2.22E-02,99.92981,9.16E-02,1
36.79,1.28,-2.50E-02,99.92879,9.16E-02,1
36.798,1.29,-2.50E-02,99.92879,9.16E-02,1
36.806,1.3,-3.19E-02,99.92777,9.16E-02,1
36.811,1.31,-3.75E-02,99.92675,9.16E-02,1
36.816,1.32,-4.72E-02,99.92574,9.16E-02,1
36.825,1.33,-4.86E-02,99.92675,9.16E-02,1
36.832,1.34,-5.55E-02,99.92574,9.16E-02,1
36.835,1.35,-6.52E-02,99.92472,9.16E-02,1
36.851,1.36,-7.63E-02,99.9237,9.16E-02,1
36.872,1.37,-8.33E-02,99.9237,9.16E-02,1
36.878,1.38,-8.74E-02,99.9237,9.17E-02,1
36.889,1.39,-9.30E-02,99.92269,9.17E-02,1
36.898,1.4,-0.10128,99.92269,9.17E-02,1
36.901,1.41,-9.99E-02,99.9237,9.17E-02,1
36.915,1.42,-0.1082,99.92269,9.17E-02,1
36.932,1.43,-0.11652,99.9237,9.17E-02,1
36.946,1.44,-0.12344,99.92269,9.17E-02,1
36.964,1.45,-0.13175,99.92167,9.17E-02,1
36.98,1.46,-0.13868,99.92167,9.17E-02,1
36.993,1.47,-0.15392,99.92167,9.17E-02,1
37.013,1.48,-0.16222,99.92065,9.17E-02,1
37.032,1.49,-0.16775,99.92065,9.17E-02,1
37.057,1.5,-0.18159,99.91963,9.17E-02,1
37.077,1.51,-0.18296,99.91862,9.17E-02,1
37.09,1.52,-0.18849,99.91658,9.17E-02,1
37.118,1.53,-0.19817,99.91556,9.18E-02,1
37.134,1.54,-0.19954,99.91353,9.18E-02,1
37.158,1.55,-0.20921,99.91353,9.18E-02,1
37.186,1.56,-0.21749,99.9115,9.18E-02,1
37.205,1.57,-0.22717,99.9115,9.18E-02,1
37.231,1.58,-0.23129,99.91251,9.18E-02,1
37.257,1.59,-0.23542,99.91251,9.18E-02,1
37.285,1.6,-0.24231,99.91251,9.18E-02,1
37.32,1.61,-0.25057,99.91251,9.19E-02,1
37.336,1.62,-0.26301,99.91353,9.19E-02,1
37.378,1.63,-0.27126,99.9115,9.19E-02,1
37.397,1.64,-0.27815,99.91251,9.19E-02,1
37.429,1.65,-0.29332,99.91251,9.19E-02,1
37.46,1.66,-0.29466,99.9115,9.19E-02,1
37.499,1.67,-0.2946,99.91353,9.19E-02,1
37.526,1.68,-0.30839,99.9115,9.20E-02,1
37.567,1.69,-0.31801,99.9115,9.20E-02,1
37.597,1.7,-0.32349,99.9115,9.20E-02,1
37.638,1.71,-0.32619,99.91353,9.20E-02,1
37.661,1.72,-0.33306,99.91353,9.20E-02,1
37.715,1.73,-0.34126,99.91455,9.20E-02,1
37.749,1.74,-0.34949,99.91556,9.21E-02,1
37.788,1.75,-0.35632,99.91658,9.21E-02,1
37.826,1.76,-0.36454,99.9176,9.21E-02,1
37.864,1.77,-0.37137,99.9176,9.21E-02,1
37.906,1.78,-0.38097,99.9176,9.21E-02,1
37.958,1.79,-0.39051,99.91862,9.22E-02,1
37.99,1.8,-0.39873,99.91862,9.22E-02,1
38.036,1.81,-0.40553,99.9176,9.22E-02,1
38.08,1.82,-0.41372,99.9176,9.22E-02,1
38.123,1.83,-0.41363,99.91658,9.22E-02,1
38.169,1.84,-0.42456,99.91556,9.23E-02,1
38.215,1.85,-0.43824,99.91556,9.23E-02,1
38.273,1.86,-0.45189,99.91353,9.23E-02,1
38.314,1.87,-0.45455,99.91455,9.23E-02,1
38.366,1.88,-0.46132,99.91455,9.23E-02,1
38.417,1.89,-0.46533,99.91455,9.24E-02,1
38.479,1.9,-0.47207,99.91455,9.24E-02,1
