,,,,,,,,,,,,,0.954504477,0.938632955,0.91710027,0.886441207,0.841544933,0.771245597,0.665177593,0.509360582,0.992763678,0.987248911,0.978640729,0.967551224,0.309447847,0.141160106,0.094483381
##Temp./øC,Time/min,DTA/(mW/mg),Mass/%,Sensit./(æV/mW),,"mass, g","m-minf-mh2o, g",(m-minf-mash)/(mo-minf-mash),dm/dt,1/T(k),"k, s-1",,9.6891933,,,,,,6.567606691,,2.904267263,,,,,,
196.28601,36.53,-4.08425,97.52938,0.17817,,10.1625614,10.1625614,0.998110506,-0.002057296,0.002130216,0.000202439,,,,,,,,,,,,,,,,
201.41501,37.03,-4.19774,97.52087,0.18118,,10.16167465,10.16167465,0.998023415,-0.002035506,0.002107193,0.000200312,,,,,,,,,,,,,,,,
206.51502,37.53,-4.32291,97.51348,0.18418,,10.16090462,10.16090462,0.997947787,-0.002066919,0.002084788,0.000203419,,,,,,,,,,,,,,,,
211.59601,38.03,-4.43606,97.50586,0.18716,,10.16011061,10.16011061,0.997869804,-0.002141187,0.002062936,0.000210744,,,,,,,,,,,,,,,,
216.65201,38.53,-4.56503,97.49688,0.19012,,10.1591749,10.1591749,0.997777903,-0.002264996,0.002041641,0.000222951,,,,,,,,,,,,,,,,
221.68001,39.03,-4.69244,97.48603,0.19307,,10.15804433,10.15804433,0.997666865,-0.002443495,0.002020896,0.000240548,,,,,,,,,,,,,,,,
226.69602,39.53,-4.82127,97.47581,0.19599,,10.1569794,10.1569794,0.997562274,-0.002685377,0.002000616,0.000264387,,,,,,,,,,,,,,,,
231.70902,40.03,-4.96055,97.46626,0.19891,,10.15598429,10.15598429,0.99746454,-0.003006635,0.001980751,0.000296046,,,,,,,,,,,,,,,,
236.69602,40.53,-5.0956,97.45309,0.2018,,10.15461198,10.15461198,0.997329759,-0.003399714,0.001961376,0.000334795,,,,,,,,,,,,,,,,
241.70602,41.03,-5.2352,97.43757,0.20469,,10.15299479,10.15299479,0.997170928,-0.003865468,0.001942291,0.000380722,,,,,,,,,,,,,,,,
246.67502,41.53,-5.37458,97.42103,0.20756,,10.15127133,10.15127133,0.997001658,-0.004431417,0.001923724,0.000436538,,,,,,,,,,,,,,,,
251.65702,42.03,-5.5287,97.40324,0.21041,,10.14941761,10.14941761,0.996819596,-0.005103297,0.001905462,0.000502817,,,,,,,,,,,,,,,,
256.62203,42.53,-5.68164,97.37861,0.21323,,10.14685116,10.14685116,0.996567534,-0.005900197,0.001887604,0.000581481,,,,,,,,,,,,,,,,
261.60701,43.03,-5.83697,97.35364,0.21604,,10.14424929,10.14424929,0.996311993,-0.006818317,0.001870008,0.000672136,,,,,,,,,,,,,,,,
266.56801,43.53,-5.99613,97.32333,0.21883,,10.14109099,10.14109099,0.996001802,-0.007877781,0.001852819,0.000776818,,,,,,,,,,,,,,,,
271.54003,44.03,-6.16046,97.28616,0.2216,,10.13721787,10.13721787,0.995621406,-0.009084447,0.001835907,0.000896148,,,,,,,,,,,,,,,,
276.50503,44.53,-6.33707,97.24798,0.22434,,10.13323952,10.13323952,0.995230674,-0.010449901,0.001819323,0.00103125,,,,,,,,,,,,,,,,
281.45601,45.03,-6.51229,97.20287,0.22705,,10.12853905,10.12853905,0.99476902,-0.011985161,0.001803082,0.001183306,,,,,,,,,,,,,,,,
286.41701,45.53,-6.69345,97.14711,0.22975,,10.12272886,10.12272886,0.994198375,-0.013671449,0.001787096,0.001350569,,,,,,,,,,,,,,,,
291.36602,46.03,-6.87863,97.08278,0.2324,,10.11602568,10.11602568,0.993540026,-0.0155135,0.001771429,0.001533557,,,,,,,,,,,,,,,,
296.32302,46.53,-7.07109,97.00692,0.23503,,10.10812106,10.10812106,0.992763678,-0.017492549,0.001756009,0.001730544,,,,,,,,,,,,,,,,
301.27602,47.03,-7.27089,96.92499,0.23763,,10.09958396,10.09958396,0.991925211,-0.019600398,0.001740868,0.001940713,,,,,,,,,,,,,,,,
306.22402,47.53,-7.47094,96.83112,0.2402,,10.0898027,10.0898027,0.990964551,-0.021802011,0.001726001,0.002160797,,,,,,,,,,,,,,,,
311.16701,48.03,-7.67977,96.72473,0.24273,,10.07871687,10.07871687,0.989875761,-0.024071283,0.0017114,0.002388328,,,,,,,,,,,,,,,,
316.13103,48.53,-7.88948,96.60273,0.24523,,10.06600447,10.06600447,0.988627219,-0.02639554,0.001696983,0.002622246,,,,,,,,,,,,,,,,
321.06801,49.03,-8.10775,96.46805,0.24768,,10.05197081,10.05197081,0.987248911,-0.028711825,0.001682884,0.002856338,,,,,,,,,,,,,,,,
326.01601,49.53,-8.32665,96.32542,0.2501,,10.03710876,10.03710876,0.985789244,-0.031012331,0.001668987,0.003089767,,,,,,,,,,,,,,,,
330.96703,50.03,-8.53933,96.16689,0.25249,,10.02058994,10.02058994,0.984166856,-0.033304486,0.001655308,0.003323605,,,,,,,,,,,,,,,,
335.90703,50.53,-8.75398,95.99661,0.25482,,10.00284676,10.00284676,0.982424219,-0.035529937,0.001641882,0.003551983,,,,,,,,,,,,,,,,
340.86303,51.03,-8.95641,95.81697,0.25712,,9.984128274,9.984128274,0.980585793,-0.037697696,0.00162863,0.003775762,,,,,,,,,,,,,,,,
