,char_GF_23_06_10.csv,char_GF_24_06_10.csv,char_GF_reground_25_10_10.csv,char_LF_24_06_10.csv,char_LF_24_06_10again.csv,char_LF_reground_22_10_10.csv,char_NF_23_06_10.csv,char_NF_24_06_10.csv,char_NF_reground_2_11_10.csv,char_GB_reground_1_11_10.csv,char_N2_reground_2_11_10.csv,char_GD_30_06_10.csv,char_GD_30_06_10_again.csv,char_QD_30_06_10.csv
Mass,10.100                          ,10.5,10.130                        ,9.780                           ,9.95,10.120                        ,10.33,9.83,9.98,10.460                        ,10.42,10.18,10.180                          ,9.270                           
% Ash,17.5738961896839,19.2653657903494,20.3779970715474,8.71868030000001,11.8229430833333,12.2851548580968,10.7271534333334,11.1272459833333,11.0428731218698,10.6256413567839,9.81499210702341,10.4046850251256,10.4046850251256,14.5419458487395
370,-0.0165870215416586,-0.0175576842291971,-0.0131785431119378,-0.00886065548289201,-0.00893841436371453,-0.00717839059360707,-0.0148677539096327,-0.00777749904864752,-0.00750767494993471,-0.00458660601327618,-0.00449640846125215,-0.0059194841704499,-0.0059194841704499,-0.0036299108122414
380,-0.0204487217080025,-0.0208985179346049,-0.01738791096062,-0.00843411004224357,-0.00914500796284291,-0.00871453124095897,-0.00838968397037576,-0.00995472295914548,-0.00903475193803892,-0.00532179191475819,-0.00503935347555714,-0.00669400629777335,-0.00669400629777335,-0.00382369839963311
390,-0.0254736309711108,-0.0247648179257259,-0.0226245734699017,-0.0118577502034404,-0.0118420728966903,-0.010793806015776,-0.0115256913463752,-0.0116696495635673,-0.0117339486600898,-0.00592660511957356,-0.00550697205120214,-0.00727310065683778,-0.00727310065683778,-0.00405358803877568
400,-0.0321461241201314,-0.0330659888558937,-0.0291428601852471,-0.0127870914656894,-0.0136690486876336,-0.0128403561768081,-0.0139861012817797,-0.0146104656163658,-0.0144314830864108,-0.00673004731481557,-0.00614781163898483,-0.00820694538008926,-0.00820694538008926,-0.00480082606683794
410,-0.0400245555145305,-0.0393783832314402,-0.0383809220797658,-0.017577577888624,-0.0156948832277984,-0.0162363309266483,-0.017395236727689,-0.0175607926578568,-0.0182778631921399,-0.00736047238371463,-0.00667666653977343,-0.00907688599818599,-0.00907688599818599,-0.00574253483450757
420,-0.0493510494362124,-0.048917452592002,-0.0469448929027406,-0.0131190270725093,-0.020469076093641,-0.0212052667013029,-0.0218412753713079,-0.0221676190782559,-0.0232036015358851,-0.00826313549029241,-0.00757125736001129,-0.0103766171156491,-0.0103766171156491,-0.00669224028929055
430,-0.0590508262429171,-0.0565307549510824,-0.0570520329706081,-0.0271993519991185,-0.0226881049003828,-0.0262491561948412,-0.0280441126181516,-0.0277702413217776,-0.0291627613510655,-0.00941301794506793,-0.00817303466862842,-0.0117759311983408,-0.0117759311983408,-0.0073781610263379
440,-0.0700108831631328,-0.068189527745259,-0.0671485451787613,-0.0364134224438894,-0.0329682609231879,-0.0359935674741585,-0.0378216781931074,-0.039083694058642,-0.0364133908459257,-0.0107756981085466,-0.00967719865277913,-0.0145558305564958,-0.0145558305564958,-0.00902997249642007
450,-0.0806034939980066,-0.0778189872667458,-0.0775076284347521,-0.040342516019915,-0.0389239506462409,-0.0395687804224175,-0.0411495064918382,-0.0425759347699438,-0.043279738845953,-0.0124439090927597,-0.0112864095565028,-0.0171392234699431,-0.0171392234699431,-0.0108392806736309
460,-0.0925411301767976,-0.0897524446910151,-0.0893787930674757,-0.0459503207625284,-0.0443615820440165,-0.046135102546956,-0.048072365916162,-0.0489325385879464,-0.0499711809492992,-0.0136625610164838,-0.0130699588202716,-0.0214740389073167,-0.0214740389073167,-0.0137317174016749
470,-0.106426479975391,-0.102416126963875,-0.103266575660201,-0.0526497679830258,-0.0515173551881813,-0.0523537704312303,-0.0551886656427586,-0.0571549073420435,-0.0562932226557501,-0.0176423909187353,-0.0151580416571947,-0.0262112169573166,-0.0262112169573166,-0.0172082887836148
480,-0.12244669099312,-0.115190331914339,-0.120278104363881,-0.0597285196516578,-0.0599317509805675,-0.0598122413647174,-0.0620546185958946,-0.063794214181404,-0.0646369849416772,-0.0197517576975638,-0.0181200089720656,-0.0323533724371678,-0.0323533724371678,-0.0209728909164629
490,-0.140247269547904,-0.132112794047442,-0.1396459270228,-0.0677461908983492,-0.063028011762893,-0.0691365314826198,-0.0709056822363936,-0.0734661607929573,-0.075246020419594,-0.024690610640496,-0.021769104432921,-0.0396753575163109,-0.0396753575163109,-0.0255472929369474
500,-0.162979815793067,-0.146516894298937,-0.1630918128426,-0.0820952085982446,-0.0762450161849678,-0.0817437389462309,-0.0835365213303686,-0.0857005858812108,-0.0899916151831098,-0.0299805217436074,-0.0266173966922394,-0.0482223177344154,-0.0482223177344154,-0.0310593842814678
510,-0.191236632061743,-0.168778580388532,-0.190357697375517,-0.093504312055799,-0.088564943892117,-0.0985665357891471,-0.100314010690351,-0.103097836607042,-0.108109041433811,-0.041493895231098,-0.0326879143055769,-0.0585739215898413,-0.0585739215898413,-0.0432194236835423
520,-0.217709995438974,-0.194797690506964,-0.208912040902979,-0.112233607323418,-0.107885221967342,-0.11864136495088,-0.119459986818456,-0.125542515054877,-0.131766599549383,-0.0452538137197051,-0.0409000038674347,-0.0702280259188311,-0.0702280259188311,-0.0464114643842257
530,-0.118059329468975,-0.147122944873843,-0.0219376976482709,-0.133613560797616,-0.128114994804792,-0.144578766598798,-0.142935356641772,-0.15165906357032,-0.159365556322757,-0.0555764409428594,-0.0507632521334002,-0.083638770236225,-0.083638770236225,-0.0556226030812785
540,-0.00592138587500917,-0.0122414881809044,-0.00364322410673823,-0.165635714569047,-0.151486925091187,-0.172379119947107,-0.171248909942138,-0.184808294254663,-0.190953599571765,-0.0685492912515951,-0.0642966733565827,-0.100095339057063,-0.100095339057063,-0.0677652910455169
550,-0.00242608086617135,-0.00412694375982465,-0.00301844338626092,-0.201932168418451,-0.182905705240674,-0.209572136377165,-0.205403546228347,-0.221412756393985,-0.228539796098226,-0.0842356373844919,-0.0825348547076186,-0.121865975550776,-0.121865975550776,-0.0812783005327303
560,-0.00874475249839756,-0.00162669666747494,-0.00146578544490295,-0.251082515772698,-0.230914387477597,-0.256559841034824,-0.253579099518431,-0.277370372084753,-0.284323856335638,-0.103068396489616,-0.102735240715592,-0.149576373191497,-0.149576373191497,-0.112769675485759
570,-0.00517802886323856,0.0027193392058474,-0.00252353099658319,-0.337857452768372,-0.286637695941659,-0.320782567711701,-0.320348704405625,-0.355653304399458,-0.36648627652559,-0.125512191613138,-0.124466826555417,-0.179899478040696,-0.179899478040696,-0.129756878522826
580,-0.0032823493176832,0.00217145471842494,-0.00207709083655662,-0.450374893011438,-0.343119627212065,-0.167491120721651,-0.363349012687378,-0.0711774092853397,-0.0141825757252559,-0.152583470635653,-0.15001519098361,-0.215490216626975,-0.215490216626975,-0.165809347409005
590,-0.00454398041629273,-0.00297933551594386,-0.00347309266702201,-0.000345258164700808,-0.00524992735949797,-0.00235483747591948,-0.00247119203081968,-0.000885777059334887,-0.00261546769468732,-0.186243095881375,-0.184926466527807,-0.265240109039433,-0.265240109039433,-0.209151158838611
600,-0.00945192080409434,-0.00786049585878468,-0.00656343448100185,-0.00516895320024021,-0.00921502563021147,-0.00677706164765641,-0.00899336950367607,-0.0102091346536257,-0.00828863439653574,-0.224112803263184,-0.21242394286927,-0.34241446561884,-0.34241446561884,-0.257229187837817
