,char_GF_23_06_10.csv,char_GF_24_06_10.csv,char_GF_reground_25_10_10.csv,char_LF_24_06_10.csv,char_LF_24_06_10again.csv,char_LF_reground_22_10_10.csv,char_NF_23_06_10.csv,char_NF_24_06_10.csv,char_NF_reground_2_11_10.csv,char_GB_reground_1_11_10.csv,char_N2_reground_2_11_10.csv,char_GD_30_06_10.csv,char_GD_30_06_10_again.csv,char_QD_30_06_10.csv
Mass,10.100                          ,10.5,10.130                        ,9.780                           ,9.95,10.120                        ,10.33,9.83,9.98,10.460                        ,10.42,10.18,10.180                          ,9.270                           
% Ash,17.5738961896839,19.2653657903494,20.3779970715474,8.71868030000001,11.8229430833333,12.2851548580968,10.7271534333334,11.1272459833333,11.0428731218698,10.6256413567839,9.81499210702341,10.4046850251256,10.4046850251256,14.5419458487395
% Moisture,1.106875625,0.955024483805644,2.66087808489671,0.943501999999796,0.616224107142656,1.6052750000013,0.799295308255466,0.623406395348795,0.849322650142952,2.22373135864126,1.97602770038216,0.926172094861997,0.926172094861997,0.740792139303153
300,0.0022689252462991,0.00231407932682187,0.00258334582289424,0.00081678032116747,0.00277251898282788,0.00141547993294611,0.00114022640572861,0.000909186240789584,0.00157553343607453,0.00095473144857603,0.00181843584328192,0.00167483429965393,0.00167483429965393,0.00123606195964876
310,0.00318825861777925,0.00299799488545228,0.0038349199504902,0.000850504329299975,0.00189025264432946,0.00198523534531654,0.00132846320536893,0.000961191972259408,0.00233130239204089,0.00136632123537942,0.00226667821511872,0.00205494219998674,0.00205494219998674,0.00163146647655694
320,0.00467830745813343,0.00510228206251509,0.0049688750738339,0.00196070072109859,0.00390148670768476,0.00249687778739491,0.00217182415257003,0.00224728344802067,0.00261868831114086,0.00181719672358239,0.00275136041462578,0.00259469279301627,0.00259469279301627,0.00212954195864572
330,0.00700420955632345,0.0057736760792711,0.00650100226317971,0.00303183503634962,0.00278087539113768,0.0033128623072986,0.00324453844248749,0.00360188827963505,0.0035687881591995,0.00239422976908602,0.00315465430154002,0.00343135623069439,0.00343135623069439,0.00280378115220181
340,0.0096768626671876,0.00922939246249473,0.00891507410258366,0.0044107965013218,0.00547109969234251,0.00420306173346403,0.0050346487332279,0.00447400163512201,0.0043378535302485,0.00301300908925283,0.00380237158320615,0.00458656097614464,0.00458656097614464,0.00333937126022247
350,0.0116507536992553,0.0125656649986423,0.0110829176918348,0.00511677479740258,0.00544502792725674,0.0054065035075252,0.00554962246756485,0.0056562168998223,0.00548328217395081,0.00387228355667252,0.00419706213415622,0.0041917695016668,0.0041917695016668,0.00269785892102757
360,0.016362157900795,0.0165070141287549,0.0143440011328415,0.00769767072900218,0.00731104378313993,0.00689308694152039,0.00762525543886692,0.00752288687588774,0.00690280571857753,0.00459563713527739,0.00469166872506494,0.00645951542483148,0.00645951542483148,0.00414476821720696
