,char_GF_23_06_10.csv,char_GF_24_06_10.csv,char_GF_reground_25_10_10.csv,char_LF_24_06_10.csv,char_LF_24_06_10again.csv,char_LF_reground_22_10_10.csv,char_NF_23_06_10.csv,char_NF_24_06_10.csv,char_NF_reground_2_11_10.csv,char_GB_reground_1_11_10.csv,char_N2_reground_2_11_10.csv,char_GD_30_06_10.csv,char_GD_30_06_10_again.csv,char_QD_30_06_10.csv
Mass,10.100                          ,10.5,10.130                        ,9.780                           ,9.95,10.120                        ,10.33,9.83,9.98,10.460                        ,10.42,10.18,10.180                          ,9.270                           
% Ash,17.5738961896839,19.2653657903494,20.3779970715474,8.71868030000001,11.8229430833333,12.2851548580968,10.7271534333334,11.1272459833333,11.0428731218698,10.6256413567839,9.81499210702341,10.4046850251256,10.4046850251256,14.5419458487395
% Moisture,1.106875625,0.955024483805644,2.66087808489671,0.943501999999796,0.616224107142656,1.6052750000013,0.799295308255466,0.623406395348795,0.849322650142952,2.22373135864126,1.97602770038216,0.926172094861997,0.926172094861997,0.740792139303153
300,0.00185646228359639,0.00185498176914155,0.0020184857601487,0.000743795518870674,0.00243890314570358,0.00123402519987727,0.00101523765634037,0.000806206589270837,0.00139714289569648,0.000846588605909307,0.0016297379326243,0.00149549434813708,0.00149549434813708,0.00105228120664548
310,0.00260743550150951,0.00240207436057965,0.00299415230349124,0.000774436788312777,0.00166260900556923,0.00173034590784153,0.0011826872659314,0.000852210580597567,0.00206693195643924,0.00121139280853226,0.00203104134483249,0.00183455787305007,0.00183455787305007,0.00138858981179765
320,0.00382322024788708,0.00408490769520895,0.00387575887883403,0.00178508260804947,0.00343098743219204,0.00217566732491888,0.0019331111245647,0.00199209296296092,0.00232109980494109,0.00161084853469266,0.00246469014994917,0.00231585701534513,0.00231585701534513,0.00181198524523537
330,0.00571790880922656,0.00461697218793041,0.00506433911443659,0.00275968552877433,0.00244480120746632,0.00288558458310335,0.00288711483028747,0.00319191384005027,0.00316212583303189,0.00212185683560002,0.0028250922209578,0.00306165727903291,0.00306165727903291,0.00238485987318745
340,0.00788778662359152,0.00736811630711142,0.00693311296061479,0.00401358704705758,0.0048077949356549,0.00365917233345002,0.00447803016124901,0.00396297700493764,0.00384181585890508,0.0026694367435744,0.00340390135434206,0.00409076308551861,0.00409076308551861,0.00283917833005622
350,0.00947732375122281,0.0100092463381761,0.00859977025601251,0.00465383932910351,0.00478178596317342,0.00470391118444356,0.00493307604549336,0.00500699102389528,0.00485349393961686,0.00342940576858225,0.00375568654624886,0.00373677006892174,0.00373677006892174,0.00229263047143026
360,0.01327379579051,0.0131103213267435,0.0110985088269872,0.00699691079434873,0.0064151503053111,0.00599242660432408,0.00677281746338776,0.00665404093156252,0.00610549240979919,0.00406808436242702,0.00419628202532356,0.00575489434195808,0.00575489434195808,0.00352019407649032
