,char_GF_23_06_10.csv,char_GF_24_06_10.csv,char_GF_reground_25_10_10.csv,char_LF_24_06_10.csv,char_LF_24_06_10again.csv,char_LF_reground_22_10_10.csv,char_NF_23_06_10.csv,char_NF_24_06_10.csv,char_NF_reground_2_11_10.csv,char_GB_reground_1_11_10.csv,char_N2_reground_2_11_10.csv,char_GD_30_06_10.csv,char_GD_30_06_10_again.csv,char_QD_30_06_10.csv
Mass,10.100                          ,10.5,10.130                        ,9.780                           ,9.95,10.120                        ,10.33,9.83,9.98,10.460                        ,10.42,10.18,10.180                          ,9.270                           
% Ash,17.5738961896839,19.2653657903494,20.3779970715474,8.71868030000001,11.8229430833333,12.2851548580968,10.7271534333334,11.1272459833333,11.0428731218698,10.6256413567839,9.81499210702341,10.4046850251256,10.4046850251256,14.5419458487395
% Moisture,1.106875625,0.955024483805644,2.66087808489671,0.943501999999796,0.616224107142656,1.6052750000013,0.799295308255466,0.623406395348795,0.849322650142952,2.22373135864126,1.97602770038216,0.926172094861997,0.926172094861997,0.740792139303153
300,0.00223761297541692,0.00228603242022325,0.00249227593839074,0.000808198313655429,0.00275289196313008,0.00138879589778059,0.00112986183510572,0.000902726060785898,0.00156021179882021,0.000929872880340957,0.00177701271195548,0.00165714480260353,0.00165714480260353,0.00122516173424699
310,0.00314414590394701,0.00296157306956247,0.00369928145611561,0.000841559128189765,0.0018768586521033,0.00194774496840295,0.00131637344170917,0.000954354450911519,0.00230859200592079,0.00133070443586152,0.00221494255178224,0.00203320056179899,0.00203320056179899,0.00161705822389636
320,0.00461332060651097,0.00504005616541718,0.00479238324619597,0.00194004619988897,0.00387379881018193,0.00244962092499821,0.00215202306725288,0.00223126979087169,0.00259311804492643,0.00176975225392451,0.00268840712496849,0.00256717867432537,0.00256717867432537,0.00211069823911399
330,0.00690635413127837,0.00570284984987241,0.00626879297770723,0.00299982136935139,0.00276109268626848,0.00324998035943899,0.00321488281617412,0.00357615438933398,0.00353383458168102,0.00233159322021159,0.00308226446764715,0.00339486596453195,0.00339486596453195,0.00277891442841444
340,0.00954056806760265,0.00911524664265272,0.00859427041273258,0.00436405856499183,0.00543203871388709,0.00412298464837397,0.0049884469426699,0.00444191133857975,0.00429520027732684,0.00293398072559854,0.00371482083539462,0.00453760677608775,0.00453760677608775,0.00330966806571249
350,0.0114848650789953,0.0124085602753473,0.0106802376948804,0.00506228096048216,0.00540594683263325,0.00530300475612027,0.00549841792515394,0.00561542394894145,0.00542909974182982,0.00377038274763172,0.00410005324294145,0.00414682332378166,0.00414682332378166,0.00267378393633538
360,0.0161258455895989,0.0162976962140682,0.0138164367278868,0.00761513676466805,0.00725821236180703,0.00676031867347305,0.00755440921684537,0.00746825326414956,0.00683416459624988,0.00447420898149803,0.00458274844092506,0.0063898730990509,0.0063898730990509,0.00410764173582486
